Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europa y Asia central (excluido altos ingresos),ECA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2155.59351831543,1918.04634246009,1942.23211172329,1944.97571805265,2020.83251039274,1857.34937607876,1714.13355392443,1798.89160953826,1710.05603360481,1866.92224570092,2208.3014043671,2905.24807012765,3741.54273639947,4634.10933904416,5742.55849193453,6978.11276159288,6861.84690165446,7403.87664025539,8070.45218192465,9314.23939470584,10289.8873235655,10187.101956013,8804.29995855056,7641.99944324863,7307.41027098291,7692.1049907347,8036.58813694612,
Europa y Asia central,ECS,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,11344.2876633712,11531.0007780762,12016.8653960411,12738.2602438082,12978.3903487419,12594.5165944215,12475.6201474737,12554.955414072,12149.0122116231,12070.8912214991,13640.8408386633,16579.2294215496,19223.8777094481,20834.5448769252,22553.5623561546,24563.5714594691,24325.2031060889,24520.6724531695,24988.3725834417,25300.8794281475,25996.3096384276,26021.118743988,24659.4271539892,23337.450631606,22814.4396735081,24375.4502393353,25203.4466119627,
Ecuador,ECU,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1670,1820,1970,2080,2180,2160,1780,1550,1550,1730,2110,2550,2880,3100,3310,3860,4060,4390,4870,5390,5810,6110,5970,5810,5860,6090,6090,
"Egipto, República Árabe de",EGY,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,760,820,920,1020,1130,1210,1310,1420,1430,1330,1240,1200,1220,1320,1530,1840,2120,2370,2560,2840,3030,3230,3340,3440,3030,2790,2690,
Zona del Euro,EMU,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,20979.2318051424,21515.2530761905,22643.4364815778,23905.9469330235,23862.3117303137,22816.5702761502,22410.3794170454,22187.1186609529,21264.210600028,20722.6520490661,23314.4207223214,28299.2744115391,32412.1547276982,34556.0152474465,36717.753047036,39536.5761892435,39641.1548494359,39764.2736992878,40295.01038538,39268.8946908995,39470.157340057,39351.5447480777,37726.9184633218,36326.825534193,35821.4502810636,38758.0846059639,40069.1211406233,
Eritrea,ERI,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,270,270,300,320,330,310,300,310,300,300,340,390,410,420,410,480,510,600,,,,,,,,,
España,ESP,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,15010,14470,14830,15560,15820,15440,15480,15770,15520,15590,18030,22070,25870,27820,29740,32190,32460,31880,30950,29520,29210,29130,28430,27530,27090,29350,30360,
Estonia,EST,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,4160,4310,4620,5730,7500,9730,11500,13420,15200,14620,14700,16000,16900,18250,18990,18680,18410,18840,21340,23250,
Etiopía,ETH,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,210,160,150,150,140,130,120,130,130,120,110,140,160,180,220,280,340,380,390,410,470,550,600,670,740,800,850,
Unión Europea,EUU,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,17049.7138656409,17524.7044702218,18505.7018460793,19628.3224820827,19673.8026436299,18888.5001989812,18607.2148940125,18510.3865964468,17815.9211146709,17479.3553206918,19733.0953553095,23993.9484466997,27606.1699125618,29604.3037768133,31659.0182023711,34398.0098382486,34522.2183845817,34711.7584165114,35192.6171115926,34504.6242069052,34822.3157000394,34788.6021750114,33409.4248179864,32173.3156893305,31804.6879718994,34493.2962071726,35807.0404253887,
