Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Curacao,CUW,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,-879497206.703911,-895046927.374302,-764134078.212291,-505815642.458101,-519340782.122905,-585240223.463687,-679733543.966481,-812566716.631285,-539292813.703911,
Islas Caimán,CYM,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,-706577023.5098,-871502935.154563,-927543580.291072,-581583341.801264,
Chipre,CYP,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,109769667.986963,74361375.9698979,-205119061.521351,-467713356.690408,-418075864.699305,291417461.510126,-170232739.706537,-488055775.318415,-322248391.356221,-379165886.404941,-292062579.511706,-826757519.186023,-970855828.801321,-1278222530.56614,-1830417730.93204,-4021890150.59237,-1737607775.50751,-2798526225.68996,-606475259.489323,-998425002.416898,-349870669.376058,-957946474.88024,-83510340.2370658,-863601462.207065,-1191040476.23074,-958157728.647117,-1577489124.59504,
República Checa,CZE,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,466333364.631825,-819875392.269922,-1373523087.20907,-4127553020.16764,-3621726040.44344,-1308286938.64821,-1465751162.91064,-2689755313.83905,-3272573493.81492,-4264835726.29032,-5785485093.44665,-4457211225.0831,-2809704225.91577,-3996084353.2344,-8945618935.57798,-4407952631.4357,-4869768332.55461,-7351204483.70952,-5020059122.20126,-3158497435.6835,-1105890387.14822,457719869.135026,845256960.753614,3462558729.3382,2960666451.91053,1259692069.45759,898074466.879909,
Alemania,DEU,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-21408143439.4966,-33446012238.4188,-32191295764.8509,-17018286510.1227,-11520842909.1784,-15635184940.6662,-31384625220.8792,-33903966248.2891,-7099486034.16703,39720517927.6968,35985324846.9413,127505924403.463,133087243134.908,173486477217.384,235777197044.803,213250033110.589,201134895341.825,196171903151.515,231971688209.185,251550848619.467,245384297278.942,278660794166.597,288620732320.068,295080042315.381,288534747933.565,312691830772.519,289603130720.076,
Djibouti,DJI,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,111039213.148699,80221245.6603328,77638545.8105682,68478120.1996388,53297021.736317,43877763.4607053,69502197.2642513,33305011.7881398,68849488.8054872,69901699.8553913,79033991.4810293,3151006.35265388,20132679.874635,-16565290.5396661,-171352850.81673,-225386026.412185,-71100207.6288114,50489250.0042201,-171842382.160803,-147967882.242391,-628687662.12209,530584952.992757,714230249.831195,-26057843.7992348,-132466801.710556,428629304.52397,448272563.583165,
Dominica,DMA,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-18196296.2962963,-26155555.5555556,-40240740.7407407,-51162962.962963,-42251851.8518519,-23062962.962963,-35774074.0740741,-59818518.5185185,-52138148.1481481,-47354800,-53176439.2592593,-58856365.8518518,-76081115.5555556,-49851557.037037,-86949475.1851852,-129885324.814815,-111079073.703704,-80184677.037037,-67906485.1851852,-92105008.8888889,-72149157.4074074,-36221939.9328074,-40958730.1392396,-50964344.5564941,-66364831.4198193,-225095301.374874,,
Dinamarca,DNK,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,4831706293.51908,3189386537.5911,1854784040.04598,3089672486.2285,921262661.373001,-2008094992.07459,3047192196.55612,2261835981.64661,4848072420.25253,3460409556.63061,6963066045.36346,5940838083.38819,11007384393.5368,9461656812.10659,4841519012.77284,10413116838.3802,11323461379.1277,21051011384.4253,22681953273.8671,20460990722.6196,26685645940.0187,31353332575.5896,24953251921.341,24312984240.6132,26734105169.5013,24829860058.5396,30937220319.0477,
República Dominicana,DOM,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-532900000,-283000000,-182800000,-212700000,-163000000,-338400000,-429200000,-1026500000,-740800000,-797900000,1036180000,1041480000,-472910000,-1287410000,-2166300000,-4519700000,-2302900000,-4023500000,-4358700000,-3970570000,-2567900000,-2170200000,-1280300000,-814700000.000002,-133099999.999999,-1321500000,-1187900000,
Argelia,DZA,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,21179999999.9992,28923000000.0014,30353590751.3885,33954307486.7352,431665235.507938,12220267767.3086,17673868500.0271,12092476753.3479,1187894322.86364,-9264322928.81106,-27037635153.4303,-26204046336.6022,-22067518023.9626,-16709173195.6085,-17147722730.2744,
