,industry,variable,value
226,13 INDUSTRIA TEXTIL,2001,3.03
227,14 CONFECCIÓN DE PRENDAS DE VESTIR,2001,171.29
228,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,2001,3.61
229,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2001,236.99
230,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2001,508.46
231,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",2001,77.57
232,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS",2001,1.0
233,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",2001,0.0
234,31 FABRICACIÓN DE MUEBLES,2001,1623.69
235,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2001,241.92
236,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2001,599.75
237,41 CONSTRUCCIÓN DE EDIFICIOS,2001,1896.22
238,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2001,396.46
239,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2001,2008.76
240,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2001,191.62
241,55 SERVICIOS DE ALOJAMIENTO,2001,5.99
242,56 SERVICIOS DE COMIDAS Y BEBIDAS,2001,20.72
243,58 EDICIÓN,2001,1516.8
244,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2001,2.09
245,61 TELECOMUNICACIONES,2001,18322.04
246,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2001,150.05
247,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2001,353.73
248,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,2001,0.0
249,68 ACTIVIDADES INMOBILIARIAS,2001,6092.34
250,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2001,300.98
251,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2001,0.0
252,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2001,10.95
253,72 INVESTIGACIÓN Y DESARROLLO,2001,30.05
254,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2001,6.1
255,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2001,270.35
256,85 EDUCACIÓN,2001,9.02
257,86 ACTIVIDADES SANITARIAS,2001,21.04
258,"90 ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",2001,0.6000000000000001
259,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2001,14.86
260,08 OTRAS INDUSTRIAS EXTRACTIVAS,2002,0.0
261,10 INDUSTRIA DE LA ALIMENTACIÓN,2002,1.47
262,11 FABRICACIÓN DE BEBIDAS,2002,32.46
263,17 INDUSTRIA DEL PAPEL,2002,3.0
264,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2002,3000.0
265,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",2002,90.7
266,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2002,2302.46
267,31 FABRICACIÓN DE MUEBLES,2002,96.63
268,32 OTRAS INDUSTRIAS MANUFACTURERAS,2002,18.0
269,41 CONSTRUCCIÓN DE EDIFICIOS,2002,15619.3
270,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2002,323.13
271,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2002,865.5
272,55 SERVICIOS DE ALOJAMIENTO,2002,2512.96
273,56 SERVICIOS DE COMIDAS Y BEBIDAS,2002,3525.26
274,58 EDICIÓN,2002,263.21
275,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2002,1.0
276,61 TELECOMUNICACIONES,2002,1.51
277,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2002,5.71
278,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2002,3.0
279,68 ACTIVIDADES INMOBILIARIAS,2002,70.41
280,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2002,1900.43
281,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2002,5.47
282,72 INVESTIGACIÓN Y DESARROLLO,2002,3.0
283,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2002,3.01
284,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2002,4.53
285,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",2002,60.1
286,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2002,17.99
287,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2002,2.7
288,85 EDUCACIÓN,2002,1.4
289,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2002,24.9
290,96 OTROS SERVICIOS PERSONALES,2002,3.5
291,99 ACTIV. ORGANIZACIONES Y ORGANISMOS EXTRATERRITORIAL,2002,0.0
292,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,2003,2.2800000000000002
293,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2003,61.0
294,"24 METALURGIA; FABRICACION PRODUCTOS HIERRO, ACERO",2003,100.0
295,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",2003,0.0
296,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS",2003,219.02
297,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2003,60.61
298,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2003,130.0
299,41 CONSTRUCCIÓN DE EDIFICIOS,2003,7502.59
300,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2003,804.96
301,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2003,65.63
302,49 TRANSPORTE TERRESTRE Y POR TUBERÍA,2003,3.02
303,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,2003,0.0
304,55 SERVICIOS DE ALOJAMIENTO,2003,2938.24
305,56 SERVICIOS DE COMIDAS Y BEBIDAS,2003,231.74
306,58 EDICIÓN,2003,1.59
307,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2003,4.5
308,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2003,2.71
309,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2003,159.96
